scheme,B,trial,time_ns
PSVFSS,100,27,580502
PSVFSS,100,28,569721
PSVFSS,100,29,508291
PSVFSS,100,30,553806
PSVFSS,100,31,603729
PSVFSS,100,32,658509
PSVFSS,100,33,701710
PSVFSS,100,34,549875
PSVFSS,100,35,640004
PSVFSS,100,36,606088
PSVFSS,100,37,643549
PSVFSS,100,38,602782
PSVFSS,100,39,617898
PSVFSS,100,40,628340
PSVFSS,100,41,660511
PSVFSS,100,42,626081
PSVFSS,100,43,621995
PSVFSS,100,44,609477
PSVFSS,100,45,557396
PSVFSS,100,46,572899
PSVFSS,100,47,609193
PSVFSS,100,48,544723
PSVFSS,100,49,665773
PSVFSS,100,50,589631
PSVFSS,100,51,610074
PSVFSS,100,52,526199
PSVFSS,100,53,592018
PSVFSS,100,54,565983
PSVFSS,100,55,615713
PSVFSS,100,56,693706
PSVFSS,100,57,601984
PSVFSS,100,58,651713
PSVFSS,100,59,588235
PSVFSS,100,60,626578
PSVFSS,100,61,624438
PSVFSS,100,62,535566
PSVFSS,100,63,603379
PSVFSS,100,64,592827
PSVFSS,100,65,626403
PSVFSS,100,66,578538
PSVFSS,100,67,621939
PSVFSS,100,68,654487
PSVFSS,100,69,623785
PSVFSS,100,70,618275
PSVFSS,100,71,619138
PSVFSS,100,72,578216
PSVFSS,100,73,553576
PSVFSS,100,74,592487
PSVFSS,100,75,566002
PSVFSS,100,76,533097
PSVFSS,100,77,630710
PSVFSS,100,78,577260
PSVFSS,100,79,582669
PSVFSS,100,80,580273
PSVFSS,100,81,599210
PSVFSS,100,82,610405
PSVFSS,100,83,669365
PSVFSS,100,84,503479
PSVFSS,100,85,609009
PSVFSS,100,86,588750
PSVFSS,100,87,530792
PSVFSS,100,88,577096
PSVFSS,100,89,598631
PSVFSS,100,90,609862
PSVFSS,100,91,521121
PSVFSS,100,92,544806
PSVFSS,100,93,618505
PSVFSS,100,94,556166
PSVFSS,100,95,614546
PSVFSS,100,96,547846
PSVFSS,100,97,643282
PSVFSS,100,98,557957
PSVFSS,100,99,689725
PSVFSS,316,0,1933796
PSVFSS,316,1,1854366
PSVFSS,316,2,1945019
PSVFSS,316,3,1732719
PSVFSS,316,4,2308951
PSVFSS,316,5,1911729
PSVFSS,316,6,1801616
PSVFSS,316,7,1760270
PSVFSS,316,8,1816861
PSVFSS,316,9,1741131
PSVFSS,316,10,1847718
PSVFSS,316,11,1820121
PSVFSS,316,12,1815253
PSVFSS,316,13,1864128
PSVFSS,316,14,1971210
PSVFSS,316,15,1904795
PSVFSS,316,16,1813316
PSVFSS,316,17,1840425
PSVFSS,316,18,1725354
PSVFSS,316,19,2101440
PSVFSS,316,20,1898971
PSVFSS,316,21,1875121
PSVFSS,316,22,1761261
PSVFSS,316,23,1912463
PSVFSS,316,24,1787757
PSVFSS,316,25,1908265
PSVFSS,316,26,1853540
PSVFSS,316,27,1850290
PSVFSS,316,28,1794508
PSVFSS,316,29,1918166
PSVFSS,316,30,1904959
PSVFSS,316,31,1881963
PSVFSS,316,32,1810771
PSVFSS,316,33,1815455
PSVFSS,316,34,1969144
PSVFSS,316,35,1845022
PSVFSS,316,36,1834769
PSVFSS,316,37,1856066
PSVFSS,316,38,1780411
PSVFSS,316,39,1819488
PSVFSS,316,40,1998156
PSVFSS,316,41,2737454
PSVFSS,316,42,1851317
PSVFSS,316,43,1817999
PSVFSS,316,44,1900597
PSVFSS,316,45,1823463
PSVFSS,316,46,1847469
PSVFSS,316,47,1912463
PSVFSS,316,48,1919736
PSVFSS,316,49,1886564
PSVFSS,316,50,1787822
PSVFSS,316,51,1787473
PSVFSS,316,52,1959309
PSVFSS,316,53,1966830
PSVFSS,316,54,1956710
PSVFSS,316,55,1838377
PSVFSS,316,56,1934311
PSVFSS,316,57,1875388
PSVFSS,316,58,1848039
PSVFSS,316,59,1860749
PSVFSS,316,60,1917798
PSVFSS,316,61,1957811
PSVFSS,316,62,1740453
PSVFSS,316,63,1991848
PSVFSS,316,64,1887327
PSVFSS,316,65,1944441
PSVFSS,316,66,1959281
PSVFSS,316,67,1875957
PSVFSS,316,68,1854522
PSVFSS,316,69,1733472
PSVFSS,316,70,1896345
PSVFSS,316,71,2299483
PSVFSS,316,72,1834566
PSVFSS,316,73,1802506
PSVFSS,316,74,1819708
PSVFSS,316,75,1841905
PSVFSS,316,76,1865644
PSVFSS,316,77,1880155
PSVFSS,316,78,2018497
PSVFSS,316,79,1808805
PSVFSS,316,80,1850610
PSVFSS,316,81,1953431
PSVFSS,316,82,1802120
PSVFSS,316,83,1963836
PSVFSS,316,84,1913051
PSVFSS,316,85,1939317
PSVFSS,316,86,1808476
PSVFSS,316,87,1922151
PSVFSS,316,88,1758709
PSVFSS,316,89,1862163
PSVFSS,316,90,1792689
PSVFSS,316,91,1812415
PSVFSS,316,92,1842078
PSVFSS,316,93,1834070
PSVFSS,316,94,1765973
PSVFSS,316,95,1863780
PSVFSS,316,96,1889476
PSVFSS,316,97,1841197
PSVFSS,316,98,1930143
PSVFSS,316,99,2071415
PSVFSS,1000,0,5849227
PSVFSS,1000,1,6497174
PSVFSS,1000,2,6419389
PSVFSS,1000,3,6392490
PSVFSS,1000,4,5880819
PSVFSS,1000,5,5914477
PSVFSS,1000,6,5968020
PSVFSS,1000,7,6048524
PSVFSS,1000,8,6181604
PSVFSS,1000,9,6777811
PSVFSS,1000,10,6185206
PSVFSS,1000,11,5982198
PSVFSS,1000,12,5960662
PSVFSS,1000,13,5886889
PSVFSS,1000,14,6132559
PSVFSS,1000,15,6668589
PSVFSS,1000,16,6520685
PSVFSS,1000,17,6339418
PSVFSS,1000,18,6340290
PSVFSS,1000,19,6520394
PSVFSS,1000,20,6240144
PSVFSS,1000,21,6506749
PSVFSS,1000,22,6527678
PSVFSS,1000,23,6746414
PSVFSS,1000,24,6475922
PSVFSS,1000,25,6406823
PSVFSS,1000,26,6272524
PSVFSS,1000,27,6794353
PSVFSS,1000,28,6809861
PSVFSS,1000,29,6373201
PSVFSS,1000,30,6463278
PSVFSS,1000,31,6890852
PSVFSS,1000,32,7510563
PSVFSS,1000,33,6378862
PSVFSS,1000,34,6409859
PSVFSS,1000,35,6494646
PSVFSS,1000,36,6668519
PSVFSS,1000,37,6259700
PSVFSS,1000,38,6334789
PSVFSS,1000,39,6177317
PSVFSS,1000,40,6412915
PSVFSS,1000,41,6328088
PSVFSS,1000,42,6411583
PSVFSS,1000,43,6375174
PSVFSS,1000,44,6488034
