scheme,slope_ns_per_signal,intercept_ns,r_squared
PSVFSS,6009.570257270057,-4586.28966365871,0.999970226713301
FMD,372810.1639088801,-35415.69674818218,0.9999831782799026
PPS-GC,9522.659569876172,79225.88725111075,0.9998712490473892
OMR,3973293.0782543244,23043502.434231043,0.9992695639592438
