timestamp,scheme,experiment,operation,role,B,trial,warmup,total_time_ns,per_signal_time_ns,scheme_specific_parameters,recipient_mode,status
1787150132773074088,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,23,false,9693973,9693,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132783727582,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,24,false,9132415,9132,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132796333200,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,25,false,10086960,10086,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132807236473,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,26,false,9315965,9315,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132818870163,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,27,false,9881056,9881,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132829961962,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,28,false,9154647,9154,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132842100752,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,29,false,9228232,9228,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132845658529,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-10,true,93546,9354,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132847525149,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-9,true,101196,10119,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132849539369,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-8,true,95805,9580,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132851028719,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-7,true,92499,9249,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132852283498,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-6,true,91792,9179,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132853515647,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-5,true,91351,9135,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132854854356,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-4,true,204825,20482,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132856700450,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-3,true,226416,22641,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132858003562,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-2,true,91167,9116,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132859734712,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-1,true,94767,9476,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132861943454,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,0,false,98385,9838,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132863576401,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,1,false,92792,9279,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132864870468,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,2,false,91066,9106,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132866077362,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,3,false,90625,9062,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132867275045,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,4,false,90717,9071,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132868547084,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,5,false,95171,9517,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132870499080,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,6,false,203365,20336,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132871759929,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,7,false,90598,9059,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132873033158,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,8,false,90965,9096,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132874599175,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,9,false,233057,23305,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132876635272,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,10,false,101076,10107,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
