scheme,slope_ns_per_signal,intercept_ns,r_squared
PSVFSS,6006.739753780851,-2500.320255242521,0.9999644557821663
FMD,372810.1639088801,-35415.69674818218,0.9999831782799026
PPS-GC,9522.1436553972,79669.2942081294,0.9998711092879318
OMR,3973293.0782543244,23043502.434231043,0.9992695639592438
