timestamp,scheme,experiment,operation,role,B,trial,warmup,total_time_ns,per_signal_time_ns,scheme_specific_parameters,recipient_mode,status,session_id,session_start_time
1787151683,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,0,false,2085883744,4171767,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s2,2026-08-19T15:01:08Z
1787151685,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,1,false,2084014060,4168028,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s2,2026-08-19T15:01:08Z
1787151688,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,2,false,2079862865,4159725,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s2,2026-08-19T15:01:08Z
1787151690,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,3,false,2071819387,4143638,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s2,2026-08-19T15:01:08Z
1787151692,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,4,false,2095066359,4190132,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s2,2026-08-19T15:01:08Z
1787151694,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,5,false,2104299659,4208599,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s2,2026-08-19T15:01:08Z
1787151696,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,6,false,2074598804,4149197,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s2,2026-08-19T15:01:08Z
1787151698,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,7,false,2084758653,4169517,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s2,2026-08-19T15:01:08Z
1787151700,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,8,false,2074645213,4149290,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s2,2026-08-19T15:01:08Z
1787151702,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,9,false,2103900085,4207800,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s2,2026-08-19T15:01:08Z
