scheme,single_signal_mean_ns,B10_per_signal_ns,B100_per_signal_ns,B1000_per_signal_ns,ratio_B10_to_single,ratio_B100_to_single,ratio_B1000_to_single
PSVFSS,6157.882,7090.38,5951.581700000001,6016.33475,1.1514316123628223,0.9664981725859639,0.9770136469000219
FMD,488536.676,403594.113,372166.0747,373309.25585,0.8261285852773929,0.7617976151702478,0.7641376260766142
PPS-GC,10642.352,11871.439,10914.4748,9581.63169,1.1154901660835874,1.0255697988564934,0.9003302737966193
OMR,4313553.864,4114222.764,4164534.019,3958669.8763333336,0.9537895882873807,0.9654531159924331,0.9177281659495544
