run_id,experiment_id,parameter_point_id,trial_id,trial_kind,scheme,phase,protocol_role,operation,host_id,host_class,Ns,Nr,actual_k,observed_result_count,false_positive_count,scheme_specific_parameters,metric_name,value,unit,status,correctness,output_type,error_class,timestamp_utc
client-v2-smoke,client-side-smoke,Ns=16_Nr=2_k=1,3,measured,PPS-GC,sending,sender,sender_signaling_generation,JerryZ,local-development,16,2,1,1,,m=2;l=1;location_bytes=32;index_bytes=2,sender_signaling_generation_ns,2621,ns,completed,true,location_row,,2026-08-19T02:56:06.894235+00:00
client-v2-smoke,client-side-smoke,Ns=16_Nr=2_k=1,3,measured,PPS-GC,sending,sender,sender_serialization,JerryZ,local-development,16,2,1,1,,m=2;l=1;location_bytes=32;index_bytes=2,sender_serialization_ns,124,ns,completed,true,location_row,,2026-08-19T02:56:06.894252+00:00
client-v2-smoke,client-side-smoke,Ns=16_Nr=2_k=1,3,measured,PPS-GC,sending,sender,sender_total_online,JerryZ,local-development,16,2,1,1,,m=2;l=1;location_bytes=32;index_bytes=2,sender_total_online_ns,3108,ns,completed,true,location_row,,2026-08-19T02:56:06.894256+00:00
client-v2-smoke,client-side-smoke,Ns=16_Nr=2_k=1,3,measured,PPS-GC,retrieval,recipient,recipient_processing,JerryZ,local-development,16,2,1,1,,m=2;l=1;location_bytes=32;index_bytes=2,recipient_processing_ns,58,ns,completed,true,location_row,,2026-08-19T02:56:06.894259+00:00
