run_id,experiment_id,parameter_point_id,trial_id,trial_kind,scheme,phase,protocol_role,operation,host_id,host_class,Ns,Nr,actual_k,observed_result_count,false_positive_count,scheme_specific_parameters,metric_name,value,unit,status,correctness,output_type,error_class,timestamp_utc
client-v2-smoke,client-side-smoke,Ns=16_Nr=2_k=1,1,measured,FMD,sending,sender,sender_signaling_generation,JerryZ,local-development,16,2,1,1,0,gamma=8;p=2^-8;curve=P-256,sender_signaling_generation_ns,6185708,ns,completed,true,candidate_indices,,2026-08-19T02:55:57.365937+00:00
client-v2-smoke,client-side-smoke,Ns=16_Nr=2_k=1,1,measured,FMD,sending,sender,sender_serialization,JerryZ,local-development,16,2,1,1,0,gamma=8;p=2^-8;curve=P-256,sender_serialization_ns,13415,ns,completed,true,candidate_indices,,2026-08-19T02:55:57.365974+00:00
client-v2-smoke,client-side-smoke,Ns=16_Nr=2_k=1,1,measured,FMD,sending,sender,sender_total_online,JerryZ,local-development,16,2,1,1,0,gamma=8;p=2^-8;curve=P-256,sender_total_online_ns,6199474,ns,completed,true,candidate_indices,,2026-08-19T02:55:57.365978+00:00
client-v2-smoke,client-side-smoke,Ns=16_Nr=2_k=1,1,measured,FMD,retrieval,recipient,recipient_processing,JerryZ,local-development,16,2,1,1,0,gamma=8;p=2^-8;curve=P-256,recipient_processing_ns,512,ns,completed,true,candidate_indices,,2026-08-19T02:55:57.365981+00:00
