Ns,k,trial_count,VerGen_ms,VerGen_min_ms,VerGen_max_ms,VerEval_ms,VerEval_min_ms,VerEval_max_ms,Shuffle_ms,Shuffle_min_ms,Shuffle_max_ms,Cprs_ms,Cprs_min_ms,Cprs_max_ms,Serialization_ms,Serialization_min_ms,Serialization_max_ms,Reconstruction_ms,Reconstruction_min_ms,Reconstruction_max_ms,Server_Retrieval_Total_ms,Server_Retrieval_Total_min_ms,Server_Retrieval_Total_max_ms,End_to_End_Online_Total_ms,End_to_End_Online_Total_min_ms,End_to_End_Online_Total_max_ms,Server_Component_Sum_Of_Medians_ms,Server_Total_Error_Of_Medians_ms,Max_Abs_Per_Trial_Server_Total_Error_ms,Cprs_Percent_Of_Server_Total,offline_included,measurement_mode,preprocessing_mode,binary_sha256,measurement_quality,correctness_status
8192,50,3,71.564000000,71.352000000,73.669000000,23.037000000,22.536000000,26.411000000,0.766000000,0.764000000,0.807000000,5562.250000000,5521.850000000,5716.530000000,0.001000000,0.001000000,0.001000000,0.000240063,0.000231531,0.000268201,5585.550000000,5545.660000000,5743.750000000,5656.902231531,5617.224268201,5817.419240063,5586.054000000,-0.504000000,0.006000000,99.582852181,False,component_pilot,local_trusted_pilot,17c18edd37f88c8ad6ac14b7a0bcd76b85eb72673416a66c877d078d7c074512,component_composed_pilot,failed
16384,50,3,148.524000000,141.532000000,155.578000000,49.460000000,44.985000000,50.066000000,1.535000000,1.434000000,2.148000000,11760.300000000,10951.600000000,12305.400000000,0.001000000,0.001000000,0.001000000,0.000235645,0.000234856,0.000251028,11811.800000000,11003.200000000,12351.900000000,11960.324234856,11158.778235645,12493.432251028,11811.296000000,0.504000000,0.021000000,99.563995327,False,component_pilot,local_trusted_pilot,17c18edd37f88c8ad6ac14b7a0bcd76b85eb72673416a66c877d078d7c074512,component_composed_pilot,failed
