implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
parallel,1000000,50,2,1,0.005747,542.273289,522.115840,542.273289,0.000149,1.223081,1844088.618,58.504,1,1
parallel,1000000,50,2,2,0.005747,532.191478,540.268299,540.268299,0.000250,1.223672,1850932.216,58.504,1,1
parallel,1000000,50,2,3,0.005747,536.546012,540.082991,540.082991,0.000070,1.226007,1851567.290,58.504,1,1
parallel,1000000,50,2,4,0.005747,532.026371,539.189688,539.189688,0.000143,1.229779,1854634.876,58.504,1,1
parallel,1000000,50,2,5,0.005747,532.643130,531.171372,532.643130,0.000198,1.265558,1877429.640,58.504,1,1
parallel,1000000,50,2,6,0.005747,543.942536,537.533588,543.942536,0.000137,1.223102,1838429.492,58.504,1,1
parallel,1000000,50,2,7,0.005747,541.168970,538.882448,541.168970,0.000140,1.236762,1847851.698,58.504,1,1
parallel,1000000,50,2,8,0.005747,531.958522,538.658519,538.658519,0.000135,1.261781,1856463.724,58.504,1,1
parallel,1000000,50,2,9,0.005747,538.733092,539.011621,539.011621,0.000138,1.220861,1855247.570,58.504,1,1
parallel,1000000,50,2,10,0.005747,538.816225,539.931980,539.931980,0.000151,1.226939,1852085.146,58.504,1,1
