implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
parallel,1000000,50,4,1,0.008925,330.436140,313.223196,330.436140,0.005740,1.355365,3026303.358,58.574,1,1
parallel,1000000,50,4,2,0.008925,313.552854,313.646166,313.646166,0.000170,1.213340,3188306.150,58.574,1,1
parallel,1000000,50,4,3,0.008925,311.864193,311.948075,311.948075,0.000235,1.229078,3205661.711,58.574,1,1
parallel,1000000,50,4,4,0.008925,313.720909,315.668658,315.668658,0.000275,1.292849,3167878.643,58.574,1,1
parallel,1000000,50,4,5,0.008925,366.627661,350.460255,366.627661,0.000169,1.499388,2727562.883,58.574,1,1
parallel,1000000,50,4,6,0.008925,346.596479,285.580569,346.596479,0.000139,1.252886,2885199.535,58.574,1,1
parallel,1000000,50,4,7,0.008925,286.060667,286.268294,286.268294,0.000147,1.362330,3493226.532,58.574,1,1
parallel,1000000,50,4,8,0.008925,285.555207,285.650877,285.650877,0.000146,1.237906,3500776.929,58.574,1,1
parallel,1000000,50,4,9,0.008925,285.519799,286.342386,286.342386,0.000245,1.232721,3492322.649,58.574,1,1
parallel,1000000,50,4,10,0.008925,285.460498,285.493886,285.493886,0.000068,1.229130,3502701.981,58.574,1,1
