implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
parallel,1000000,50,8,1,0.005822,198.882608,245.889255,245.889255,0.000158,1.216879,4066871.487,58.570,1,1
parallel,1000000,50,8,2,0.005822,226.867283,271.436413,271.436413,0.000169,1.529899,3684104.093,58.633,1,1
parallel,1000000,50,8,3,0.005822,259.583987,249.484547,259.583987,0.000175,1.519853,3852317.747,58.633,1,1
parallel,1000000,50,8,4,0.005822,264.262042,247.294200,264.262042,0.000077,1.291666,3784122.731,58.633,1,1
parallel,1000000,50,8,5,0.005822,265.511012,243.879671,265.511012,0.000158,1.264721,3766322.129,58.633,1,1
parallel,1000000,50,8,6,0.005822,280.526459,263.385399,280.526459,0.000095,1.530005,3564726.135,58.633,1,1
parallel,1000000,50,8,7,0.005822,244.528904,248.811964,248.811964,0.000220,1.203813,4019099.339,58.633,1,1
parallel,1000000,50,8,8,0.005822,230.171019,246.034318,246.034318,0.000151,1.229034,4064473.640,58.633,1,1
parallel,1000000,50,8,9,0.005822,228.061800,197.573758,228.061800,0.000171,1.364451,4384776.407,58.633,1,1
parallel,1000000,50,8,10,0.005822,202.967189,258.504221,258.504221,0.000193,1.212114,3868408.787,58.633,1,1
