implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
parallel,10000,50,4,1,0.003405,6.019010,5.102021,6.019010,0.000143,0.008590,1661402.789,3.727,1,1
parallel,10000,50,4,2,0.003405,6.433585,5.770852,6.433585,0.000108,0.007037,1554343.340,3.727,1,1
parallel,10000,50,4,3,0.003405,7.591856,5.966026,7.591856,0.000121,0.008540,1317200.959,3.727,1,1
parallel,10000,50,4,4,0.003405,12.213200,14.062182,14.062182,0.000219,0.016064,711127.192,3.727,1,1
parallel,10000,50,4,5,0.003405,8.599696,8.532073,8.599696,0.000138,0.010149,1162831.802,3.727,1,1
parallel,10000,50,4,6,0.003405,7.249185,6.463985,7.249185,0.000100,0.008263,1379465.416,3.727,1,1
parallel,10000,50,4,7,0.003405,4.667928,5.393456,5.393456,0.000202,0.015615,1854098.745,3.727,1,1
parallel,10000,50,4,8,0.003405,13.833616,13.483422,13.833616,0.000198,0.015887,722876.795,3.727,1,1
parallel,10000,50,4,9,0.003405,10.910636,7.693918,10.910636,0.000244,0.016941,916536.854,3.727,1,1
parallel,10000,50,4,10,0.003405,10.332724,11.464000,11.464000,0.000165,0.010731,872295.883,3.727,1,1
