implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
parallel,10000,50,2,1,0.003536,10.985174,9.146369,10.985174,0.002948,0.006075,910317.852,3.668,1,1
parallel,10000,50,2,2,0.003536,8.694740,10.776599,10.776599,0.000074,0.004785,927936.541,3.668,1,1
parallel,10000,50,2,3,0.003536,12.589166,12.173484,12.589166,0.000068,0.004756,794333.795,3.668,1,1
parallel,10000,50,2,4,0.003536,10.653503,10.314417,10.653503,0.000070,0.004754,938658.392,3.668,1,1
parallel,10000,50,2,5,0.003536,8.419206,8.584869,8.584869,0.000068,0.004846,1164840.139,3.668,1,1
parallel,10000,50,2,6,0.003536,8.284675,8.775288,8.775288,0.000066,0.004761,1139563.739,3.668,1,1
parallel,10000,50,2,7,0.003536,8.749147,8.529809,8.749147,0.000068,0.004773,1142968.566,3.668,1,1
parallel,10000,50,2,8,0.003536,6.068259,8.200271,8.200271,0.000101,0.006394,1219471.893,3.668,1,1
parallel,10000,50,2,9,0.003536,8.265139,8.249700,8.265139,0.000073,0.005584,1209901.007,3.668,1,1
parallel,10000,50,2,10,0.003536,8.258167,8.049111,8.258167,0.000075,0.005332,1210922.472,3.668,1,1
