implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
serial,10000,50,1,1,0.159280,8.519660,8.534760,8.534760,0.000072,0.003156,1171679.110,3.367,1,1
serial,10000,50,1,2,0.159280,8.627541,8.585471,8.627541,0.000028,0.003329,1159078.815,3.367,1,1
serial,10000,50,1,3,0.159280,8.654677,8.566488,8.654677,0.000017,0.003303,1155444.623,3.367,1,1
serial,10000,50,1,4,0.159280,8.678417,8.687868,8.687868,0.000015,0.003233,1151030.379,3.367,1,1
serial,10000,50,1,5,0.159280,8.580593,8.576343,8.580593,0.000022,0.003256,1165420.618,3.367,1,1
serial,10000,50,1,6,0.159280,8.574206,8.586306,8.586306,0.000018,0.003646,1164645.192,3.367,1,1
serial,10000,50,1,7,0.159280,8.539972,8.566826,8.566826,0.000016,0.003120,1167293.464,3.367,1,1
serial,10000,50,1,8,0.159280,8.607931,8.534671,8.607931,0.000016,0.003468,1161719.349,3.367,1,1
serial,10000,50,1,9,0.159280,8.608061,8.608307,8.608307,0.000015,0.003755,1161668.607,3.367,1,1
serial,10000,50,1,10,0.159280,8.682750,8.543099,8.682750,0.000015,0.003245,1151708.848,3.367,1,1
