implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
parallel,10000,50,8,1,0.009385,10.896980,10.787874,10.896980,0.000235,0.016170,917685.450,3.812,1,1
parallel,10000,50,8,2,0.009385,9.207127,10.324401,10.324401,0.000224,0.015021,968579.194,3.875,1,1
parallel,10000,50,8,3,0.009385,11.534376,11.971790,11.971790,0.000364,0.021605,835296.977,3.875,1,1
parallel,10000,50,8,4,0.009385,11.822926,11.218108,11.822926,0.000210,0.012062,845814.310,3.875,1,1
parallel,10000,50,8,5,0.009385,10.918157,11.120103,11.120103,0.000241,0.016056,899272.246,3.875,1,1
parallel,10000,50,8,6,0.009385,6.481175,6.761189,6.761189,0.000150,0.009125,1479029.798,3.875,1,1
parallel,10000,50,8,7,0.009385,6.787192,10.799436,10.799436,0.000338,0.020827,925974.282,3.875,1,1
parallel,10000,50,8,8,0.009385,12.275662,11.910838,12.275662,0.000368,0.027982,814620.018,3.875,1,1
parallel,10000,50,8,9,0.009385,10.685905,14.066543,14.066543,0.000385,0.037688,710906.724,3.875,1,1
parallel,10000,50,8,10,0.009385,14.291009,14.270390,14.291009,0.000401,0.037100,699740.655,3.875,1,1
