implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
serial,1000000,50,1,1,0.003784,869.168154,864.331276,869.168154,0.000157,1.216059,1150525.356,41.094,1,1
serial,1000000,50,1,2,0.003784,867.841981,866.559948,867.841981,0.000063,1.222220,1152283.505,41.094,1,1
serial,1000000,50,1,3,0.003784,868.132100,868.708246,868.708246,0.000147,1.233350,1151134.463,41.094,1,1
serial,1000000,50,1,4,0.003784,867.842738,867.686570,867.842738,0.000171,1.267530,1152282.500,41.094,1,1
serial,1000000,50,1,5,0.003784,868.676837,867.306618,868.676837,0.000161,1.227706,1151176.085,41.094,1,1
serial,1000000,50,1,6,0.003784,869.468826,866.603664,869.468826,0.000136,1.227674,1150127.492,41.094,1,1
serial,1000000,50,1,7,0.003784,869.840785,865.840895,869.840785,0.000153,1.222572,1149635.677,41.094,1,1
serial,1000000,50,1,8,0.003784,869.253922,868.088317,869.253922,0.000152,1.237375,1150411.836,41.094,1,1
serial,1000000,50,1,9,0.003784,869.020942,867.472037,869.020942,0.000134,1.259481,1150720.255,41.094,1,1
serial,1000000,50,1,10,0.003784,868.036102,866.516773,868.036102,0.000065,1.220891,1152025.817,41.094,1,1
