implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
parallel,10000,50,16,1,0.047406,9.676115,13.058262,13.058262,0.000409,0.037673,765798.695,3.836,1,1
parallel,10000,50,16,2,0.047406,12.174604,12.349213,12.349213,0.000479,0.039868,809768.201,3.836,1,1
parallel,10000,50,16,3,0.047406,10.589814,8.285211,10.589814,0.000246,0.030068,944303.649,3.836,1,1
parallel,10000,50,16,4,0.047406,8.493178,8.487710,8.493178,0.000289,0.021040,1177415.568,3.836,1,1
parallel,10000,50,16,5,0.047406,9.415275,7.332522,9.415275,0.000230,0.015045,1062103.868,3.836,1,1
parallel,10000,50,16,6,0.047406,9.871926,11.527604,11.527604,0.000367,0.037816,867482.957,3.836,1,1
parallel,10000,50,16,7,0.047406,13.230930,11.988166,13.230930,0.000387,0.034230,755804.770,3.836,1,1
parallel,10000,50,16,8,0.047406,11.455630,10.679803,11.455630,0.000362,0.039209,872933.221,3.836,1,1
parallel,10000,50,16,9,0.047406,11.155069,11.998114,11.998114,0.000247,0.027404,833464.326,3.836,1,1
parallel,10000,50,16,10,0.047406,10.210922,8.774430,10.210922,0.000240,0.022027,979343.491,3.836,1,1
