implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
serial,100000,50,1,1,0.027462,88.130184,88.230186,88.230186,0.000060,0.044110,1133398.948,6.645,1,1
serial,100000,50,1,2,0.027462,87.318138,87.380302,87.380302,0.000019,0.046185,1144422.687,6.645,1,1
serial,100000,50,1,3,0.027462,87.597113,87.332935,87.597113,0.000018,0.081918,1141590.134,6.645,1,1
serial,100000,50,1,4,0.027462,87.537138,87.905741,87.905741,0.000018,0.065069,1137582.129,6.645,1,1
serial,100000,50,1,5,0.027462,87.875426,87.815720,87.875426,0.000015,0.083237,1137974.569,6.645,1,1
serial,100000,50,1,6,0.027462,87.302017,87.227095,87.302017,0.000016,0.046170,1145448.908,6.645,1,1
serial,100000,50,1,7,0.027462,87.588526,87.558031,87.588526,0.000015,0.066229,1141702.054,6.645,1,1
serial,100000,50,1,8,0.027462,87.728180,87.519981,87.728180,0.000016,0.067721,1139884.584,6.645,1,1
serial,100000,50,1,9,0.027462,87.495621,87.801981,87.801981,0.000016,0.092891,1138926.467,6.645,1,1
serial,100000,50,1,10,0.027462,87.751148,87.621029,87.751148,0.000016,0.083083,1139586.231,6.645,1,1
