implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
parallel,1000000,50,16,1,0.007126,156.826923,156.743895,156.826923,0.000188,1.245503,6376456.165,58.605,1,1
parallel,1000000,50,16,2,0.007126,152.865396,152.714558,152.865396,0.000189,1.170363,6541702.872,58.605,1,1
parallel,1000000,50,16,3,0.007126,153.083540,157.331844,157.331844,0.000211,1.293688,6355992.370,58.605,1,1
parallel,1000000,50,16,4,0.007126,156.978738,152.896829,156.978738,0.000177,1.267231,6370289.459,58.605,1,1
parallel,1000000,50,16,5,0.007126,153.085894,152.878246,153.085894,0.000186,1.242067,6532280.499,58.605,1,1
parallel,1000000,50,16,6,0.007126,156.929432,152.498210,156.929432,0.000161,1.196134,6372290.954,58.605,1,1
parallel,1000000,50,16,7,0.007126,157.116969,152.640092,157.116969,0.000157,1.188231,6364684.899,58.605,1,1
parallel,1000000,50,16,8,0.007126,157.197507,152.519493,157.197507,0.000267,1.222108,6361424.040,58.605,1,1
parallel,1000000,50,16,9,0.007126,156.816985,156.841038,156.841038,0.000171,1.252691,6375882.312,58.605,1,1
parallel,1000000,50,16,10,0.007126,157.140317,152.737864,157.140317,0.000170,1.184929,6363739.231,58.605,1,1
