implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
parallel,100000,50,4,1,0.003450,44.620321,39.455838,44.620321,0.000073,0.046483,2241131.345,8.789,1,1
parallel,100000,50,4,2,0.003450,44.671607,40.988668,44.671607,0.000069,0.044640,2238558.376,8.789,1,1
parallel,100000,50,4,3,0.003450,40.521489,43.074598,43.074598,0.000069,0.046150,2321553.877,8.789,1,1
parallel,100000,50,4,4,0.003450,43.157260,43.258599,43.258599,0.000068,0.047550,2311679.118,8.789,1,1
parallel,100000,50,4,5,0.003450,43.078839,43.100473,43.100473,0.000069,0.046652,2320160.152,8.789,1,1
parallel,100000,50,4,6,0.003450,44.579029,43.042478,44.579029,0.000070,0.046257,2243207.226,8.789,1,1
parallel,100000,50,4,7,0.003450,44.513712,40.345073,44.513712,0.000067,0.042873,2246498.787,8.789,1,1
parallel,100000,50,4,8,0.003450,44.581184,43.202036,44.581184,0.000069,0.110386,2243098.793,8.789,1,1
parallel,100000,50,4,9,0.003450,44.345431,43.116435,44.345431,0.000069,0.058984,2255023.748,8.789,1,1
parallel,100000,50,4,10,0.003450,44.578831,43.103625,44.578831,0.000069,0.046701,2243217.190,8.789,1,1
