implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
parallel,100000,50,16,1,0.009978,35.428848,52.932158,52.932158,0.000118,0.106090,1889210.714,8.812,1,1
parallel,100000,50,16,2,0.009978,53.316780,48.945925,53.316780,0.000096,0.079615,1875582.134,8.812,1,1
parallel,100000,50,16,3,0.009978,47.907925,47.256042,47.907925,0.000097,0.081742,2087337.325,8.812,1,1
parallel,100000,50,16,4,0.009978,45.699466,27.482431,45.699466,0.000075,0.048544,2188209.376,8.812,1,1
parallel,100000,50,16,5,0.009978,30.874121,43.385561,43.385561,0.000089,0.100064,2304914.301,8.812,1,1
parallel,100000,50,16,6,0.009978,36.306443,24.193545,36.306443,0.000070,0.053480,2754332.062,8.812,1,1
parallel,100000,50,16,7,0.009978,18.698982,21.153841,21.153841,0.000070,0.042261,4727273.879,8.812,1,1
parallel,100000,50,16,8,0.009978,30.221117,27.302851,30.221117,0.000069,0.045574,3308944.537,8.812,1,1
parallel,100000,50,16,9,0.009978,21.053210,14.901618,21.053210,0.000072,0.042744,4749869.497,8.812,1,1
parallel,100000,50,16,10,0.009978,14.951038,14.844551,14.951038,0.000069,0.041805,6688498.819,8.812,1,1
