implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
parallel,100000,50,8,1,0.005429,29.438781,27.040265,29.438781,0.000059,0.057342,3396879.782,8.781,1,1
parallel,100000,50,8,2,0.005429,26.843652,48.350118,48.350118,0.000057,0.042625,2068247.279,8.852,1,1
parallel,100000,50,8,3,0.005429,28.486053,26.779996,28.486053,0.000068,0.042834,3510489.853,8.852,1,1
parallel,100000,50,8,4,0.005429,45.104261,29.685362,45.104261,0.000059,0.041006,2217085.432,8.852,1,1
parallel,100000,50,8,5,0.005429,27.928564,28.621887,28.621887,0.000060,0.042605,3493829.739,8.852,1,1
parallel,100000,50,8,6,0.005429,35.553868,48.018499,48.018499,0.000059,0.045106,2082530.735,8.852,1,1
parallel,100000,50,8,7,0.005429,30.661100,27.697100,30.661100,0.000059,0.050916,3261461.591,8.852,1,1
parallel,100000,50,8,8,0.005429,29.043545,29.082515,29.082515,0.000060,0.049388,3438492.166,8.852,1,1
parallel,100000,50,8,9,0.005429,27.109993,26.718228,27.109993,0.000059,0.049813,3688676.718,8.852,1,1
parallel,100000,50,8,10,0.005429,26.620447,43.430931,43.430931,0.000056,0.044054,2302506.479,8.852,1,1
